Team,Tournament,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%,AerialsWon,Rating
Manchester City,Premier League,83,15.8,46,2,60.8,89.4,12.8,7.01
Manchester United,Premier League,73,13.8,64,1,54.5,84.8,14.5,6.85
Aston Villa,Premier League,55,13.7,63,4,49.1,78.6,19.4,6.84
Chelsea,Premier League,58,14.6,49,3,58.6,87,15.2,6.83
Liverpool,Premier League,68,16,40,0,59,85.7,14.3,6.82
Leicester,Premier League,68,12.8,61,0,53.2,82.1,16.2,6.8
Tottenham,Premier League,68,11.7,53,2,51.3,81.8,16.4,6.81
West Ham,Premier League,62,12.3,48,3,44.5,77.8,19.9,6.77
Everton,Premier League,47,10.5,59,2,47.3,81.4,17.7,6.73
Wolverhampton Wanderers,Premier League,36,12.2,53,1,49.7,83.2,15.3,6.67
Burnley,Premier League,33,10.1,48,0,43.5,71.6,23.4,6.64
Fulham,Premier League,27,11.6,67,3,50,81.2,17.2,6.63
Southampton,Premier League,47,11.2,52,3,51.4,79.3,14.1,6.62
Newcastle United,Premier League,46,10.4,61,3,41.6,76,17.1,6.62
Crystal Palace,Premier League,41,9.2,54,2,42.9,76.1,18.3,6.61
Sheffield United,Premier League,20,8.5,73,3,43,76.9,19.1,6.46
